ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-1601,Motivasi,,,Saya mampu menunjukkan kemampuan motivasi secara konsisten dalam berbagai tantangan yang saya hadapi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1602,Disiplin,,,Saya masih memiliki kebiasaan yang mengurangi performa saya pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1603,Kemandirian,,,Saya mampu menunjukkan kemampuan kemandirian secara konsisten dalam berbagai tantangan yang saya hadapi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1604,Critical Thinking,,,Saya mampu menunjukkan kemampuan critical thinking secara konsisten dalam berbagai tantangan yang saya hadapi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1605,Problem Solving,,,Saya mampu menunjukkan kemampuan problem solving secara konsisten dalam berbagai tantangan yang saya hadapi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1606,Komunikasi,,,Saya masih memiliki kebiasaan yang mengurangi performa saya pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1607,Leadership,,,Saya mampu menunjukkan kemampuan leadership secara konsisten dalam berbagai tantangan yang saya hadapi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1608,Emotional Resilience,,,Saya masih memiliki kebiasaan yang mengurangi performa saya pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1609,Motivasi,,,Saya mampu menunjukkan kemampuan motivasi secara konsisten dalam berbagai tantangan yang saya hadapi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1610,Disiplin,,,Saya masih memiliki kebiasaan yang mengurangi performa saya pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
