ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-1801,Motivasi,,,Saya secara konsisten menerapkan kemampuan motivasi untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1802,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1803,Kemandirian,,,Saya secara konsisten menerapkan kemampuan kemandirian untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1804,Critical Thinking,,,Saya secara konsisten menerapkan kemampuan critical thinking untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1805,Problem Solving,,,Saya secara konsisten menerapkan kemampuan problem solving untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1806,Komunikasi,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek komunikasi dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1807,Leadership,,,Saya secara konsisten menerapkan kemampuan leadership untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1808,Emotional Resilience,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek emotional resilience dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1809,Motivasi,,,Saya secara konsisten menerapkan kemampuan motivasi untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1810,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1811,Kemandirian,,,Saya secara konsisten menerapkan kemampuan kemandirian untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1812,Critical Thinking,,,Saya secara konsisten menerapkan kemampuan critical thinking untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1813,Problem Solving,,,Saya secara konsisten menerapkan kemampuan problem solving untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1814,Komunikasi,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek komunikasi dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1815,Leadership,,,Saya secara konsisten menerapkan kemampuan leadership untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1816,Emotional Resilience,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek emotional resilience dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1817,Motivasi,,,Saya secara konsisten menerapkan kemampuan motivasi untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1818,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1819,Kemandirian,,,Saya secara konsisten menerapkan kemampuan kemandirian untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1820,Critical Thinking,,,Saya secara konsisten menerapkan kemampuan critical thinking untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1821,Problem Solving,,,Saya secara konsisten menerapkan kemampuan problem solving untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1822,Komunikasi,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek komunikasi dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1823,Leadership,,,Saya secara konsisten menerapkan kemampuan leadership untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1824,Emotional Resilience,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek emotional resilience dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1825,Motivasi,,,Saya secara konsisten menerapkan kemampuan motivasi untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1826,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1827,Kemandirian,,,Saya secara konsisten menerapkan kemampuan kemandirian untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1828,Critical Thinking,,,Saya secara konsisten menerapkan kemampuan critical thinking untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1829,Problem Solving,,,Saya secara konsisten menerapkan kemampuan problem solving untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1830,Komunikasi,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek komunikasi dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1831,Leadership,,,Saya secara konsisten menerapkan kemampuan leadership untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1832,Emotional Resilience,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek emotional resilience dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1833,Motivasi,,,Saya secara konsisten menerapkan kemampuan motivasi untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1834,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1835,Kemandirian,,,Saya secara konsisten menerapkan kemampuan kemandirian untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1836,Critical Thinking,,,Saya secara konsisten menerapkan kemampuan critical thinking untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1837,Problem Solving,,,Saya secara konsisten menerapkan kemampuan problem solving untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1838,Komunikasi,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek komunikasi dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1839,Leadership,,,Saya secara konsisten menerapkan kemampuan leadership untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1840,Emotional Resilience,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek emotional resilience dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1841,Motivasi,,,Saya secara konsisten menerapkan kemampuan motivasi untuk mencapai tujuan yang saya tetapkan.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1842,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin dalam kehidupan sehari-hari.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
