ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-1401,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1402,Disiplin,,,Saya masih memiliki perilaku yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1403,Kemandirian,,,Saya mampu menerapkan kemampuan kemandirian secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1404,Critical Thinking,,,Saya mampu menerapkan kemampuan critical thinking secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1405,Problem Solving,,,Saya mampu menerapkan kemampuan problem solving secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1406,Komunikasi,,,Saya masih memiliki perilaku yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1407,Leadership,,,Saya mampu menerapkan kemampuan leadership secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1408,Emotional Resilience,,,Saya masih memiliki perilaku yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1409,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1410,Disiplin,,,Saya masih memiliki perilaku yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1411,Kemandirian,,,Saya mampu menerapkan kemampuan kemandirian secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1412,Critical Thinking,,,Saya mampu menerapkan kemampuan critical thinking secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1413,Problem Solving,,,Saya mampu menerapkan kemampuan problem solving secara efektif dalam kegiatan belajar maupun kehidupan sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1414,Komunikasi,,,Saya masih memiliki perilaku yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
