ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-1001,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1002,Disiplin,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1003,Kemandirian,,,Saya mampu menerapkan kemampuan kemandirian secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1004,Critical Thinking,,,Saya mampu menerapkan kemampuan critical thinking secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1005,Problem Solving,,,Saya mampu menerapkan kemampuan problem solving secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1006,Komunikasi,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1007,Leadership,,,Saya mampu menerapkan kemampuan leadership secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1008,Emotional Resilience,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1009,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1010,Disiplin,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1011,Kemandirian,,,Saya mampu menerapkan kemampuan kemandirian secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1012,Critical Thinking,,,Saya mampu menerapkan kemampuan critical thinking secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1013,Problem Solving,,,Saya mampu menerapkan kemampuan problem solving secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1014,Komunikasi,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1015,Leadership,,,Saya mampu menerapkan kemampuan leadership secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1016,Emotional Resilience,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1017,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1018,Disiplin,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1019,Kemandirian,,,Saya mampu menerapkan kemampuan kemandirian secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1020,Critical Thinking,,,Saya mampu menerapkan kemampuan critical thinking secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1021,Problem Solving,,,Saya mampu menerapkan kemampuan problem solving secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1022,Komunikasi,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1023,Leadership,,,Saya mampu menerapkan kemampuan leadership secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1024,Emotional Resilience,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1025,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1026,Disiplin,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1027,Kemandirian,,,Saya mampu menerapkan kemampuan kemandirian secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1028,Critical Thinking,,,Saya mampu menerapkan kemampuan critical thinking secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1029,Problem Solving,,,Saya mampu menerapkan kemampuan problem solving secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1030,Komunikasi,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1031,Leadership,,,Saya mampu menerapkan kemampuan leadership secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1032,Emotional Resilience,,,Saya masih memiliki kebiasaan yang mengurangi efektivitas pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1033,Motivasi,,,Saya mampu menerapkan kemampuan motivasi secara konsisten dalam berbagai situasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
