ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-0401,Motivasi,,,Saya menunjukkan perilaku positif terkait motivasi secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0402,Disiplin,,,"Dalam aspek disiplin, saya sering menunjukkan kebiasaan yang menghambat perkembangan diri.",Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0403,Kemandirian,,,Saya menunjukkan perilaku positif terkait kemandirian secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0404,Critical Thinking,,,Saya menunjukkan perilaku positif terkait critical thinking secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0405,Komunikasi,,,"Dalam aspek komunikasi, saya sering menunjukkan kebiasaan yang menghambat perkembangan diri.",Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0406,Leadership,,,Saya menunjukkan perilaku positif terkait leadership secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0407,Problem Solving,,,Saya menunjukkan perilaku positif terkait problem solving secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0408,Emotional Resilience,,,"Dalam aspek emotional resilience, saya sering menunjukkan kebiasaan yang menghambat perkembangan diri.",Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0409,Motivasi,,,Saya menunjukkan perilaku positif terkait motivasi secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0410,Disiplin,,,"Dalam aspek disiplin, saya sering menunjukkan kebiasaan yang menghambat perkembangan diri.",Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0411,Kemandirian,,,Saya menunjukkan perilaku positif terkait kemandirian secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0412,Critical Thinking,,,Saya menunjukkan perilaku positif terkait critical thinking secara konsisten dalam kegiatan belajar maupun organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
