ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-0201,Critical Thinking,,,Saya menunjukkan kemampuan yang baik dalam aspek critical thinking ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0202,Problem Solving,,,Saya menunjukkan kemampuan yang baik dalam aspek problem solving ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0203,Komunikasi,,,Saya menunjukkan kemampuan yang baik dalam aspek komunikasi ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0204,Leadership,,,Saya menunjukkan kemampuan yang baik dalam aspek leadership ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0205,Emotional Resilience,,,Saya sering kesulitan tetap tenang ketika menghadapi tantangan baru dalam emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0206,Critical Thinking,,,Saya menunjukkan kemampuan yang baik dalam aspek critical thinking ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0207,Problem Solving,,,Saya menunjukkan kemampuan yang baik dalam aspek problem solving ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0208,Komunikasi,,,Saya menunjukkan kemampuan yang baik dalam aspek komunikasi ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0209,Leadership,,,Saya menunjukkan kemampuan yang baik dalam aspek leadership ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0210,Emotional Resilience,,,Saya sering kesulitan tetap tenang ketika menghadapi tantangan baru dalam emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0211,Critical Thinking,,,Saya menunjukkan kemampuan yang baik dalam aspek critical thinking ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0212,Problem Solving,,,Saya menunjukkan kemampuan yang baik dalam aspek problem solving ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0213,Komunikasi,,,Saya menunjukkan kemampuan yang baik dalam aspek komunikasi ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0214,Leadership,,,Saya menunjukkan kemampuan yang baik dalam aspek leadership ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0215,Emotional Resilience,,,Saya sering kesulitan tetap tenang ketika menghadapi tantangan baru dalam emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0216,Critical Thinking,,,Saya menunjukkan kemampuan yang baik dalam aspek critical thinking ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0217,Problem Solving,,,Saya menunjukkan kemampuan yang baik dalam aspek problem solving ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0218,Komunikasi,,,Saya menunjukkan kemampuan yang baik dalam aspek komunikasi ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0219,Leadership,,,Saya menunjukkan kemampuan yang baik dalam aspek leadership ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0220,Emotional Resilience,,,Saya sering kesulitan tetap tenang ketika menghadapi tantangan baru dalam emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0221,Critical Thinking,,,Saya menunjukkan kemampuan yang baik dalam aspek critical thinking ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0222,Problem Solving,,,Saya menunjukkan kemampuan yang baik dalam aspek problem solving ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0223,Komunikasi,,,Saya menunjukkan kemampuan yang baik dalam aspek komunikasi ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0224,Leadership,,,Saya menunjukkan kemampuan yang baik dalam aspek leadership ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0225,Emotional Resilience,,,Saya sering kesulitan tetap tenang ketika menghadapi tantangan baru dalam emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0226,Critical Thinking,,,Saya menunjukkan kemampuan yang baik dalam aspek critical thinking ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0227,Problem Solving,,,Saya menunjukkan kemampuan yang baik dalam aspek problem solving ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0228,Komunikasi,,,Saya menunjukkan kemampuan yang baik dalam aspek komunikasi ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0229,Leadership,,,Saya menunjukkan kemampuan yang baik dalam aspek leadership ketika menghadapi situasi belajar atau organisasi.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
