ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-1201,Motivasi,,,Saya mampu menunjukkan kemampuan motivasi secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1202,Disiplin,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1203,Kemandirian,,,Saya mampu menunjukkan kemampuan kemandirian secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1204,Critical Thinking,,,Saya mampu menunjukkan kemampuan critical thinking secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1205,Problem Solving,,,Saya mampu menunjukkan kemampuan problem solving secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1206,Komunikasi,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1207,Leadership,,,Saya mampu menunjukkan kemampuan leadership secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1208,Emotional Resilience,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1209,Motivasi,,,Saya mampu menunjukkan kemampuan motivasi secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1210,Disiplin,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1211,Kemandirian,,,Saya mampu menunjukkan kemampuan kemandirian secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1212,Critical Thinking,,,Saya mampu menunjukkan kemampuan critical thinking secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1213,Problem Solving,,,Saya mampu menunjukkan kemampuan problem solving secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1214,Komunikasi,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1215,Leadership,,,Saya mampu menunjukkan kemampuan leadership secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1216,Emotional Resilience,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1217,Motivasi,,,Saya mampu menunjukkan kemampuan motivasi secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1218,Disiplin,,,Saya masih menunjukkan kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-1219,Kemandirian,,,Saya mampu menunjukkan kemampuan kemandirian secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1220,Critical Thinking,,,Saya mampu menunjukkan kemampuan critical thinking secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-1221,Problem Solving,,,Saya mampu menunjukkan kemampuan problem solving secara konsisten dalam berbagai aktivitas.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
