ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-0801,Motivasi,,,"Saya secara konsisten menerapkan kemampuan motivasi dalam kegiatan belajar, organisasi, atau kehidupan sehari-hari.",Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0802,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0803,Kemandirian,,,"Saya secara konsisten menerapkan kemampuan kemandirian dalam kegiatan belajar, organisasi, atau kehidupan sehari-hari.",Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0804,Critical Thinking,,,"Saya secara konsisten menerapkan kemampuan critical thinking dalam kegiatan belajar, organisasi, atau kehidupan sehari-hari.",Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0805,Problem Solving,,,"Saya secara konsisten menerapkan kemampuan problem solving dalam kegiatan belajar, organisasi, atau kehidupan sehari-hari.",Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0806,Komunikasi,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0807,Leadership,,,"Saya secara konsisten menerapkan kemampuan leadership dalam kegiatan belajar, organisasi, atau kehidupan sehari-hari.",Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0808,Emotional Resilience,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0809,Motivasi,,,"Saya secara konsisten menerapkan kemampuan motivasi dalam kegiatan belajar, organisasi, atau kehidupan sehari-hari.",Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0810,Disiplin,,,Saya masih menunjukkan perilaku yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
